ID_Cliente,Evasion,Genero,Adulto_Mayor,Pareja,Dependientes,Antiguedad_Meses,Servicio_Telefonico,Multiples_Lineas,Servicio_Internet,Seguridad_Online,Copia_Seguridad_Online,Proteccion_Dispositivo,Soporte_Tecnico,Streaming_TV,Streaming_Peliculas,Contrato,Facturacion_Electronica,Metodo_Pago,Cargos_Mensuales,Cargos_Totales,Cuentas_Diarias
0136-IFMYD,No,Masculino,Si,Si,No,69,Si,Si,Fibra optica,No,Si,Si,Si,Si,Si,Doble,Si,Cheque electrónico,109.95,7634.25,3.66
0137-OCGAB,Yes,Femenino,No,No,No,1,Si,Si,Fibra optica,No,Si,No,No,No,No,Mensual,Si,Cheque por correo,80.2,80.2,2.67
0137-UDEUO,Yes,Femenino,No,No,No,3,Si,No,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Mensual,No,Cheque por correo,19.85,63.75,0.66
0139-IVFJG,No,Femenino,No,Si,No,2,Si,No,Fibra optica,Si,Si,No,No,Si,No,Mensual,No,Cheque electrónico,90.35,190.5,3.01
0141-YEAYS,No,Femenino,Si,No,No,27,Si,Si,Fibra optica,No,Si,Si,No,No,No,Mensual,Si,Transferencia bancaria,86.45,2401.05,2.88
0142-GVYSN,No,Masculino,No,No,No,26,Si,No,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Mensual,Si,Cheque electrónico,20.3,511.25,0.68
0147-ESWWR,No,Femenino,Si,Si,No,39,Si,Si,Fibra optica,No,No,No,Si,Si,Si,Mensual,Si,Cheque electrónico,101.25,3949.15,3.38
0148-DCDOS,Yes,Masculino,No,No,No,25,Si,Si,Fibra optica,No,No,No,No,Si,Si,Mensual,Si,Transferencia bancaria,94.7,2362.1,3.16
0151-ONTOV,Yes,Femenino,No,No,No,1,Si,No,Fibra optica,No,No,No,No,No,No,Mensual,No,Cheque por correo,70.9,70.9,2.36
0154-QYHJU,,Masculino,No,No,No,29,Si,No,DSL,Si,Si,No,Si,No,No,Anual,Si,Cheque electrónico,58.75,1696.2,1.96
0156-FVPTA,Yes,Masculino,No,Si,No,22,Si,No,DSL,Si,No,No,Si,No,No,Mensual,Si,Cheque electrónico,54.2,1152.7,1.81
0162-RZGMZ,,Femenino,Si,No,No,5,Si,No,DSL,Si,Si,No,Si,No,No,Mensual,No,Tarjeta de credito,59.9,287.85,2.0
0164-APGRB,No,Femenino,No,No,No,72,Si,Si,Fibra optica,Si,Si,Si,Si,Si,Si,Doble,Si,Cheque electrónico,114.9,8496.7,3.83
0164-XAIRP,No,Femenino,No,No,No,24,Si,No,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Doble,Si,Transferencia bancaria,19.55,470.2,0.65
0168-XZKBB,No,Femenino,No,Si,No,19,Si,Si,Fibra optica,No,No,No,No,Si,No,Mensual,Si,Cheque electrónico,86.85,1564.4,2.9
0174-QRVVY,No,Masculino,No,Si,Si,71,Si,Si,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Doble,No,Tarjeta de credito,25.35,1847.55,0.85
0177-PXBAT,No,Masculino,Si,Si,No,33,Si,Si,Fibra optica,Si,No,Si,Si,Si,Si,Mensual,Si,Transferencia bancaria,109.9,3694.7,3.66
0178-CIIKR,No,Femenino,No,No,No,3,Si,No,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Mensual,No,Cheque por correo,19.95,58,0.66
0178-SZBHO,No,Masculino,No,Si,Si,47,Si,Si,Fibra optica,No,Si,No,No,Si,No,Mensual,No,Cheque electrónico,87.2,4017.45,2.91
0181-RITDD,No,Masculino,No,Si,Si,62,Si,No,Fibra optica,Si,Si,Si,Si,Si,Si,Doble,No,Cheque por correo,108.15,6825.65,3.6
0186-CAERR,No,Masculino,No,No,No,71,Si,Si,Fibra optica,Si,Si,Si,Si,Si,Si,Anual,Si,Transferencia bancaria,116.3,8309.55,3.88
0187-QSXOE,No,Masculino,Si,Si,No,7,Si,No,Fibra optica,No,No,No,No,Si,Si,Mensual,Si,Cheque electrónico,89.0,605.45,2.97
0187-WZNAB,No,Femenino,No,Si,Si,27,Si,No,Fibra optica,Si,No,No,No,No,No,Mensual,No,Cheque por correo,74.4,1972.35,2.48
0188-GWFLE,No,Masculino,No,No,No,2,Si,No,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Mensual,No,Cheque por correo,20.05,33.7,0.67
0191-EQUUH,No,Femenino,No,No,Si,25,No,Sin servicio telefonico,DSL,Si,No,No,Si,No,No,Doble,No,Transferencia bancaria,35.05,844.45,1.17
0191-ZHSKZ,No,Masculino,Si,No,No,30,Si,No,DSL,Si,Si,No,No,Si,Si,Mensual,Si,Cheque electrónico,74.75,2111.3,2.49
0193-ESZXP,Yes,Femenino,Si,Si,No,58,Si,No,Fibra optica,Si,Si,No,Si,Si,Si,Anual,Si,Tarjeta de credito,105.5,6205.5,3.52
0195-IESCP,Yes,Masculino,No,Si,No,10,Si,Si,Fibra optica,No,No,No,No,No,Si,Mensual,Si,Cheque electrónico,85.25,855.3,2.84
0196-JTUQI,No,Femenino,No,No,No,9,Si,Si,Fibra optica,No,No,No,No,No,No,Mensual,Si,Tarjeta de credito,75.2,633.85,2.51
0196-VULGZ,Yes,Femenino,Si,Si,No,6,Si,Si,Fibra optica,No,No,No,No,No,Si,Mensual,Si,Cheque electrónico,84.35,474.9,2.81
0197-PNKNK,No,Femenino,No,Si,Si,69,Si,Si,Fibra optica,Si,No,Si,No,No,No,Anual,No,Transferencia bancaria,84.45,5848.6,2.82
0201-MIBOL,No,Femenino,Si,No,No,66,Si,Si,Fibra optica,Si,No,No,No,Si,Si,Doble,Si,Transferencia bancaria,102.4,6471.85,3.41
0201-OAMXR,Yes,Femenino,No,No,No,70,Si,Si,Fibra optica,Si,Si,Si,Si,Si,Si,Anual,No,Tarjeta de credito,115.55,8127.6,3.85
0203-HHYIJ,Yes,Masculino,No,No,No,25,Si,Si,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Anual,No,Transferencia bancaria,25.3,676.35,0.84
0206-OYVOC,No,Femenino,No,Si,Si,46,Si,No,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Doble,Si,Cheque por correo,19.25,864.2,0.64
0206-TBWLC,No,Femenino,No,Si,No,54,Si,Si,Fibra optica,Si,Si,Si,Si,Si,Si,Anual,Si,Cheque por correo,114.65,6049.5,3.82
0207-MDKNV,Yes,Femenino,No,No,No,15,Si,No,Fibra optica,Si,No,Si,Si,Si,Si,Mensual,No,Cheque electrónico,105.1,1582.75,3.5
0208-BPQEJ,No,Femenino,No,Si,Si,12,Si,No,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Mensual,No,Transferencia bancaria,19.4,198.1,0.65
0212-ISBBF,No,Femenino,No,No,No,22,No,Sin servicio telefonico,DSL,No,Si,No,No,Si,Si,Mensual,Si,Cheque electrónico,50.35,1098.85,1.68
0214-JHPFW,No,Femenino,No,Si,No,70,No,Sin servicio telefonico,DSL,No,Si,Si,Si,Si,Si,Doble,No,Transferencia bancaria,57.8,4039.3,1.93
0215-BQKGS,No,Masculino,No,No,No,30,Si,No,Fibra optica,Si,Si,Si,No,No,No,Mensual,Si,Tarjeta de credito,84.3,2438.6,2.81
0218-QNVAS,No,Masculino,No,Si,Si,71,Si,Si,Fibra optica,No,Si,No,No,Si,Si,Anual,No,Transferencia bancaria,100.55,7113.75,3.35
0219-QAERP,No,Masculino,No,Si,No,30,Si,No,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Anual,No,Tarjeta de credito,19.8,576.65,0.66
0219-YTZUE,Yes,Masculino,No,Si,Si,4,Si,Si,Fibra optica,No,Si,Si,No,No,No,Mensual,Si,Transferencia bancaria,84.8,371.9,2.83
0220-EBGCE,Yes,Masculino,No,No,No,2,Si,No,Fibra optica,No,No,Si,No,No,Si,Mensual,Si,Cheque electrónico,85.85,167.3,2.86
0221-NAUXK,No,Masculino,No,No,Si,10,Si,No,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Anual,Si,Transferencia bancaria,19.95,219.5,0.66
0221-WMXNQ,No,Masculino,Si,No,No,4,Si,No,Fibra optica,Si,No,No,No,No,No,Mensual,No,Cheque electrónico,75.35,273.4,2.51
0222-CNVPT,No,Masculino,Si,No,No,52,No,Sin servicio telefonico,DSL,Si,No,No,No,Si,Si,Mensual,Si,Tarjeta de credito,48.8,2555.05,1.63
0224-HJAPT,Yes,Masculino,No,No,No,5,Si,Si,DSL,No,No,No,No,No,No,Mensual,No,Cheque electrónico,47.15,223.15,1.57
0224-NIJLP,No,Masculino,No,Si,Si,8,Si,No,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Doble,No,Cheque por correo,20.15,165.5,0.67
0224-RLWWD,No,Femenino,Si,No,No,2,Si,No,DSL,No,No,No,No,No,No,Mensual,Si,Cheque electrónico,44.3,89.3,1.48
0225-ZORZP,No,Masculino,No,No,No,3,Si,No,Fibra optica,No,Si,No,No,No,Si,Mensual,No,Cheque electrónico,84.3,235.05,2.81
0228-MAUWC,No,Masculino,No,No,No,19,Si,Si,DSL,No,No,Si,Si,No,No,Mensual,No,Cheque electrónico,59.55,1144.6,1.98
0229-LFJAF,No,Masculino,No,No,No,72,Si,Si,DSL,Si,Si,Si,Si,No,No,Doble,No,Transferencia bancaria,69.65,4908.25,2.32
0230-UBYPQ,No,Masculino,Si,Si,No,63,No,Sin servicio telefonico,DSL,Si,No,No,Si,No,No,Anual,No,Transferencia bancaria,36.1,2298.9,1.2
0230-WEQUW,No,Masculino,No,Si,No,66,No,Sin servicio telefonico,DSL,Si,Si,Si,Si,Si,No,Doble,Si,Transferencia bancaria,56.6,3789.2,1.89
0231-LXVAP,Yes,Masculino,No,No,No,1,Si,No,Fibra optica,No,No,No,Si,No,No,Mensual,Si,Cheque electrónico,75.9,75.9,2.53
0233-FTHAV,No,Femenino,No,No,No,60,Si,Si,Fibra optica,No,No,Si,No,No,No,Anual,Si,Transferencia bancaria,79.2,4765,2.64
0234-TEVTT,No,Femenino,No,Si,Si,48,No,Sin servicio telefonico,DSL,Si,No,Si,No,No,Si,Anual,No,Tarjeta de credito,45.0,2196.3,1.5
0235-KGSLC,Yes,Femenino,No,No,No,1,Si,No,Fibra optica,No,No,Si,No,Si,No,Mensual,Si,Tarjeta de credito,85.55,85.55,2.85
0236-HFWSV,Yes,Masculino,No,No,No,15,Si,Si,Fibra optica,No,No,No,No,Si,Si,Mensual,Si,Cheque electrónico,93.35,1444.65,3.11
0237-YFUTL,No,Femenino,No,Si,No,50,Si,Si,Fibra optica,Si,Si,No,Si,Si,Si,Mensual,Si,Transferencia bancaria,109.65,5405.8,3.66
0238-WHBIQ,No,Masculino,No,Si,Si,72,Si,Si,DSL,Si,Si,Si,Si,Si,Si,Doble,No,Tarjeta de credito,89.7,6339.3,2.99
0239-OXEXL,No,Femenino,No,No,No,46,Si,Si,Fibra optica,Si,Si,No,No,No,No,Mensual,No,Cheque por correo,84.25,3847.6,2.81
0244-LGNFY,No,Femenino,No,Si,Si,72,Si,Si,DSL,Si,Si,Si,Si,Si,Si,Doble,No,Transferencia bancaria,92.65,6733,3.09
0247-SLUJI,No,Masculino,No,Si,Si,1,Si,No,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Mensual,No,Cheque por correo,19.7,19.7,0.66
0248-IPDFW,No,Femenino,No,No,No,1,Si,Si,DSL,No,No,No,No,No,No,Mensual,Si,Cheque electrónico,50.1,50.1,1.67
0248-PGHBZ,No,Femenino,Si,No,No,67,Si,No,Fibra optica,Si,Si,No,Si,Si,No,Doble,Si,Transferencia bancaria,92.45,6140.85,3.08
0253-ZTEOB,No,Femenino,No,Si,Si,48,Si,Si,DSL,No,Si,No,Si,Si,Si,Doble,No,Cheque electrónico,79.65,3870.3,2.66
0254-FNMCI,No,Femenino,No,No,No,72,Si,No,Fibra optica,Si,Si,Si,Si,Si,Si,Doble,Si,Cheque electrónico,109.9,7624.2,3.66
0254-KCJGT,No,Masculino,No,Si,No,52,Si,Si,DSL,Si,Si,Si,Si,No,Si,Anual,Si,Tarjeta de credito,81.4,4354.45,2.71
0254-WWRKD,No,Femenino,No,Si,Si,67,Si,No,DSL,No,Si,No,No,No,No,Anual,No,Tarjeta de credito,50.55,3431.75,1.68
